Nayef Aguerd,West Ham,"£ 50,000 (€ 58,358, $63,661)"
Wataru Endo,Liverpool,"£ 50,000 (€ 58,358, $63,661)"
Calum Chambers,Aston Villa,"£ 50,000 (€ 58,358, $63,661)"
Robin Olsen,Aston Villa,"£ 50,000 (€ 58,358, $63,661)"
Matt Doherty,Wolves,"£ 50,000 (€ 58,358, $63,661)"
Pedro Neto,Wolves,"£ 50,000 (€ 58,358, $63,661)"
Hamza Choudhury,Leicester City,"£ 50,000 (€ 58,358, $63,661)"
Wout Faes,Leicester City,"£ 50,000 (€ 58,358, $63,661)"
Sean Longstaff,Newcastle Utd,"£ 50,000 (€ 58,358, $63,661)"
Valentino Livramento,Newcastle Utd,"£ 50,000 (€ 58,358, $63,661)"
Jeremy Doku,Manchester City,"£ 50,000 (€ 58,358, $63,661)"
Oscar Bobb,Manchester City,"£ 50,000 (€ 58,358, $63,661)"
Sergio Gómez,Manchester City,"£ 50,000 (€ 58,358, $63,661)"
Mathias Jensen,Brentford,"£ 50,000 (€ 58,358, $63,661)"
Conor Gallagher,Chelsea,"£ 50,000 (€ 58,358, $63,661)"
Noni Madueke,Chelsea,"£ 50,000 (€ 58,358, $63,661)"
Trevoh Chalobah,Chelsea,"£ 50,000 (€ 58,358, $63,661)"
João Pedro,Brighton,"£ 50,000 (€ 58,358, $63,661)"
Joël Veltman,Brighton,"£ 50,000 (€ 58,358, $63,661)"
Pervis Estupiñán,Brighton,"£ 50,000 (€ 58,358, $63,661)"
Solly March,Brighton,"£ 50,000 (€ 58,358, $63,661)"
Beto,Everton,"£ 50,000 (€ 58,358, $63,661)"
Jesper Lindstrøm,Everton,"£ 50,000 (€ 58,358, $63,661)"
Neal Maupay,Everton,"£ 50,000 (€ 58,358, $63,661)"
Joe Worrall,Nott'ham Forest,"£ 50,000 (€ 58,358, $63,661)"
Neco Williams,Nott'ham Forest,"£ 50,000 (€ 58,358, $63,661)"
Taiwo Awoniyi,Nott'ham Forest,"£ 50,000 (€ 58,358, $63,661)"
Andreas Pereira,Fulham,"£ 50,000 (€ 58,358, $63,661)"
Antonee Robinson,Fulham,"£ 50,000 (€ 58,358, $63,661)"
Harrison Reed,Fulham,"£ 50,000 (€ 58,358, $63,661)"
Kenny Tete,Fulham,"£ 50,000 (€ 58,358, $63,661)"
Callum Wilson,Newcastle Utd,"£ 46,000 (€ 53,689, $58,568)"
Fabio Vieira,Arsenal,"£ 45,000 (€ 52,522, $57,295)"
Tom Heaton,Manchester Utd,"£ 45,000 (€ 52,522, $57,295)"
Jack Stephens,Southampton,"£ 45,000 (€ 52,522, $57,295)"
Daniel Muñoz,Crystal Palace,"£ 45,000 (€ 52,522, $57,295)"
Rob Holding,Crystal Palace,"£ 45,000 (€ 52,522, $57,295)"
Hamed Junior Traorè,Bournemouth,"£ 45,000 (€ 52,522, $57,295)"
Philip Billing,Bournemouth,"£ 45,000 (€ 52,522, $57,295)"
Player,Squad,Weekly Wages
Craig Dawson,Wolves,"£ 45,000 (€ 52,522, $57,295)"
Mario Lemina,Wolves,"£ 45,000 (€ 52,522, $57,295)"
Fabian Schär,Newcastle Utd,"£ 45,000 (€ 52,522, $57,295)"
Bryan Mbeumo,Brentford,"£ 45,000 (€ 52,522, $57,295)"
Lesley Ugochukwu,Chelsea,"£ 45,000 (€ 52,522, $57,295)"
Malo Gusto,Chelsea,"£ 45,000 (€ 52,522, $57,295)"
Roméo Lavia,Chelsea,"£ 45,000 (€ 52,522, $57,295)"
Igor,Brighton,"£ 45,000 (€ 52,522, $57,295)"
Moussa Niakhate,Nott'ham Forest,"£ 45,000 (€ 52,522, $57,295)"
Hwang Ui-jo,Nott'ham Forest,"£ 45,000 (€ 52,522, $57,295)"
Calvin Bassey,Fulham,"£ 45,000 (€ 52,522, $57,295)"
Ryan Fraser,Newcastle Utd,"£ 42,000 (€ 49,020, $53,475)"
Ki-Jana Hoever,Wolves,"£ 40,385 (€ 47,135, $51,419)"
Emile Smith Rowe,Arsenal,"£ 40,000 (€ 46,686, $50,929)"
Alex McCarthy,Southampton,"£ 40,000 (€ 46,686, $50,929)"
Carlos Alcaraz,Southampton,"£ 40,000 (€ 46,686, $50,929)"
Duje Ćaleta-Car,Southampton,"£ 40,000 (€ 46,686, $50,929)"
Kamaldeen Sulemana,Southampton,"£ 40,000 (€ 46,686, $50,929)"
Bryan Gil,Tottenham,"£ 40,000 (€ 46,686, $50,929)"
Emerson,Tottenham,"£ 40,000 (€ 46,686, $50,929)"
Oliver Skipp,Tottenham,"£ 40,000 (€ 46,686, $50,929)"
Matheus França,Crystal Palace,"£ 40,000 (€ 46,686, $50,929)"
Sam Johnstone,Crystal Palace,"£ 40,000 (€ 46,686, $50,929)"
Tyrick Mitchell,Crystal Palace,"£ 40,000 (€ 46,686, $50,929)"
Alex Scott,Bournemouth,"£ 40,000 (€ 46,686, $50,929)"
Fabio Carvalho,Liverpool,"£ 40,000 (€ 46,686, $50,929)"
Harvey Elliott,Liverpool,"£ 40,000 (€ 46,686, $50,929)"
Stefan Bajcetic,Liverpool,"£ 40,000 (€ 46,686, $50,929)"
José Sá,Wolves,"£ 40,000 (€ 46,686, $50,929)"
Danny Ward,Leicester City,"£ 40,000 (€ 46,686, $50,929)"
Harry Souttar,Leicester City,"£ 40,000 (€ 46,686, $50,929)"
Jamaal Lascelles,Newcastle Utd,"£ 40,000 (€ 46,686, $50,929)"
Martin Dúbravka,Newcastle Utd,"£ 40,000 (€ 46,686, $50,929)"
Frank Onyeka,Brentford,"£ 40,000 (€ 46,686, $50,929)"
Kristoffer Ajer,Brentford,"£ 40,000 (€ 46,686, $50,929)"
Armando Broja,Chelsea,"£ 40,000 (€ 46,686, $50,929)"
Deivid Washington,Chelsea,"£ 40,000 (€ 46,686, $50,929)"
Ashley Young,Everton,"£ 40,000 (€ 46,686, $50,929)"
Emmanuel Dennis,Nott'ham Forest,"£ 40,000 (€ 46,686, $50,929)"
Matt Turner,Nott'ham Forest,"£ 40,000 (€ 46,686, $50,929)"
Player,Squad,Weekly Wages
Ola Aina,Nott'ham Forest,"£ 40,000 (€ 46,686, $50,929)"
Willy Boly,Nott'ham Forest,"£ 40,000 (€ 46,686, $50,929)"
Carlos Vinícius,Fulham,"£ 40,000 (€ 46,686, $50,929)"
Kevin Mbabu,Fulham,"£ 40,000 (€ 46,686, $50,929)"
Jamal Lewis,Newcastle Utd,"£ 38,000 (€ 44,352, $48,383)"
Altay Bayındır,Manchester Utd,"£ 35,000 (€ 40,850, $44,563)"
Adam Wharton,Crystal Palace,"£ 35,000 (€ 40,850, $44,563)"
Joel Ward,Crystal Palace,"£ 35,000 (€ 40,850, $44,563)"
Adam Smith,Bournemouth,"£ 35,000 (€ 40,850, $44,563)"
Chris Mepham,Bournemouth,"£ 35,000 (€ 40,850, $44,563)"
Dango Ouattara,Bournemouth,"£ 35,000 (€ 40,850, $44,563)"
Marcus Tavernier,Bournemouth,"£ 35,000 (€ 40,850, $44,563)"
Max Aarons,Bournemouth,"£ 35,000 (€ 40,850, $44,563)"
Romain Faivre,Bournemouth,"£ 35,000 (€ 40,850, $44,563)"
Vladimír Coufal,West Ham,"£ 35,000 (€ 40,850, $44,563)"
Álex Moreno,Aston Villa,"£ 35,000 (€ 40,850, $44,563)"
Jean-Ricner Bellegarde,Wolves,"£ 35,000 (€ 40,850, $44,563)"
Sasa Kalajdzic,Wolves,"£ 35,000 (€ 40,850, $44,563)"
Jacob Murphy,Newcastle Utd,"£ 35,000 (€ 40,850, $44,563)"
Christian Nørgaard,Brentford,"£ 35,000 (€ 40,850, $44,563)"
Keane Lewis-Potter,Brentford,"£ 35,000 (€ 40,850, $44,563)"
Rico Henry,Brentford,"£ 35,000 (€ 40,850, $44,563)"
Marcus Bettinelli,Chelsea,"£ 35,000 (€ 40,850, $44,563)"
Bart Verbruggen,Brighton,"£ 35,000 (€ 40,850, $44,563)"
Tariq Lamptey,Brighton,"£ 35,000 (€ 40,850, $44,563)"
Jarrad Branthwaite,Everton,"£ 35,000 (€ 40,850, $44,563)"
Andrew Omobamidele,Nott'ham Forest,"£ 35,000 (€ 40,850, $44,563)"
Harry Toffolo,Nott'ham Forest,"£ 35,000 (€ 40,850, $44,563)"
Matz Sels,Nott'ham Forest,"£ 35,000 (€ 40,850, $44,563)"
Nicolás Domínguez,Nott'ham Forest,"£ 35,000 (€ 40,850, $44,563)"
Bobby Reid,Fulham,"£ 35,000 (€ 40,850, $44,563)"
Harry Wilson,Fulham,"£ 35,000 (€ 40,850, $44,563)"
Paul Onuachu,Southampton,"£ 30,000 (€ 35,015, $38,197)"
Milos Kerkez,Bournemouth,"£ 30,000 (€ 35,015, $38,197)"
Jhon Durán,Aston Villa,"£ 30,000 (€ 35,015, $38,197)"
João Gomes,Wolves,"£ 30,000 (€ 35,015, $38,197)"
Santiago Bueno,Wolves,"£ 30,000 (€ 35,015, $38,197)"
James Justin,Leicester City,"£ 30,000 (€ 35,015, $38,197)"
Máximo Perrone,Manchester City,"£ 30,000 (€ 35,015, $38,197)"
Scott Carson,Manchester City,"£ 30,000 (€ 35,015, $38,197)"
Player,Squad,Weekly Wages
