Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
86,Lucas Digne,fr FRA,LB,Aston Villa,30,"£ 120,000 (€ 140,058, $152,787)","£ 6,240,000 (€ 7,283,032, $7,944,927)",
87,Alexander Isak,se SWE,CF,Newcastle Utd,24,"£ 120,000 (€ 140,058, $152,787)","£ 6,240,000 (€ 7,283,032, $7,944,927)",
88,Kieran Trippier,eng ENG,RB,Newcastle Utd,33,"£ 120,000 (€ 140,058, $152,787)","£ 6,240,000 (€ 7,283,032, $7,944,927)",Unverified estimation
89,Sandro Tonali,it ITA,DM,Newcastle Utd,24,"£ 120,000 (€ 140,058, $152,787)","£ 6,240,000 (€ 7,283,032, $7,944,927)",
90,Malang Sarr,fr FRA,CB,Chelsea,25,"£ 120,000 (€ 140,058, $152,787)","£ 6,240,000 (€ 7,283,032, $7,944,927)",
91,Tosin Adarabioyo,eng ENG,CB,Chelsea,26,"£ 120,000 (€ 140,058, $152,787)","£ 6,240,000 (€ 7,283,032, $7,944,927)",
92,Leny Yoro,,CB,Manchester Utd,18,"£ 115,000 (€ 134,223, $146,421)","£ 5,980,000 (€ 6,979,572, $7,613,888)",
93,James Ward-Prowse,eng ENG,CM,West Ham,29,"£ 115,000 (€ 134,223, $146,421)","£ 5,980,000 (€ 6,979,572, $7,613,888)",Unverified estimation
94,Jorginho,it ITA,DM,Arsenal,32,"£ 110,000 (€ 128,387, $140,055)","£ 5,720,000 (€ 6,676,112, $7,282,850)",
95,Kieran Tierney,sct SCO,LB,Arsenal,27,"£ 110,000 (€ 128,387, $140,055)","£ 5,720,000 (€ 6,676,112, $7,282,850)",
96,Dejan Kulusevski,se SWE,RW,Tottenham,24,"£ 110,000 (€ 128,387, $140,055)","£ 5,720,000 (€ 6,676,112, $7,282,850)",
97,Joshua Zirkzee,nl NED,CF,Manchester Utd,23,"£ 105,000 (€ 122,551, $133,689)","£ 5,460,000 (€ 6,372,653, $6,951,811)",
98,Daichi Kamada,jp JPN,AM,Crystal Palace,27,"£ 105,000 (€ 122,551, $133,689)","£ 5,460,000 (€ 6,372,653, $6,951,811)",
99,Nikola Milenković,rs SRB,CB,Nott'ham Forest,26,"£ 105,000 (€ 122,551, $133,689)","£ 5,460,000 (€ 6,372,653, $6,951,811)",
100,Eddie Nketiah,eng ENG,CF,Arsenal,25,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",
101,Gabriel Magalhães,br BRA,CB,Arsenal,26,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",
102,Reiss Nelson,eng ENG,RW,Arsenal,24,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",
103,Takehiro Tomiyasu,jp JPN,RB,Arsenal,25,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",
104,Dean Henderson,eng ENG,GK,Crystal Palace,27,"£ 100,000 (€ 116,715, $127,323)","£ 5,200,000 (€ 6,069,193, $6,620,773)",Unverified estimation
