Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,PSCH,PSCD,PSCA
E0,03/09/2023,Crystal Palace,Wolves,3,2,H,0,0,D,R Jones,16,12,11,4,12,12,4,2,1,3,0,0,1.91,3.3,4.33,1.97,3.5,4.25,1.85,3.2,3.6,1.9,3.61,4.54
E0,03/09/2023,Liverpool,Aston Villa,3,0,H,2,0,H,S Hooper,17,9,4,3,12,7,7,3,0,1,0,0,1.65,4.5,4.5,1.68,4.61,4.6,1.5,4.2,4.6,1.65,4.67,5.02
E0,03/09/2023,Arsenal,Man United,3,1,H,1,1,D,A Taylor,17,10,5,2,8,7,12,3,2,3,0,0,1.75,3.8,4.5,1.77,4.08,4.55,1.67,3.7,3.9,1.76,4.2,4.49
E0,16/09/2023,Wolves,Liverpool,1,3,A,1,0,H,M Oliver,11,16,2,6,10,4,4,4,1,3,0,0,6.0,5.0,1.45,6.66,4.98,1.47,6.0,4.4,1.36,4.58,4.46,1.71
E0,16/09/2023,Aston Villa,Crystal Palace,3,1,H,0,0,D,D England,16,6,5,3,13,9,4,2,5,3,0,0,1.91,3.6,4.0,1.93,3.76,4.1,1.8,3.1,4.0,1.98,3.66,4.08
E0,16/09/2023,Fulham,Luton,1,0,H,0,0,D,M Salisbury,13,7,2,2,6,14,6,2,2,2,0,0,1.67,3.75,5.5,1.68,4.03,5.31,1.57,3.5,5.0,1.69,3.82,5.68
E0,16/09/2023,Man United,Brighton,1,3,A,0,1,A,J Gillett,14,10,4,8,8,9,8,1,2,2,0,0,2.15,4.0,2.88,2.25,4.02,2.99,2.0,3.6,2.9,2.07,3.9,3.53
E0,16/09/2023,Tottenham,Sheffield United,2,1,H,0,0,D,P Bankes,28,7,10,5,13,14,15,2,6,5,0,1,1.29,5.5,11.0,1.29,6.08,10.21,1.22,5.0,9.0,1.3,6.31,9.4
E0,16/09/2023,West Ham,Man City,1,3,A,1,0,H,A Madley,6,29,3,15,7,11,4,11,3,2,0,0,7.0,4.5,1.45,6.58,4.7,1.5,5.8,4.2,1.4,5.49,4.3,1.63
E0,16/09/2023,Newcastle,Brentford,1,0,H,0,0,D,C Pawson,9,11,2,2,8,12,8,3,3,5,0,0,1.53,4.2,6.0,1.54,4.47,6.3,1.44,3.9,5.5,1.66,4.17,5.43
E0,17/09/2023,Bournemouth,Chelsea,0,0,D,0,0,D,D Coote,13,14,4,6,15,20,1,7,1,5,0,0,4.33,3.75,1.8,4.39,4.05,1.8,4.0,3.7,1.65,4.34,3.97,1.83
E0,17/09/2023,Everton,Arsenal,0,1,A,0,0,D,S Hooper,8,13,1,4,12,10,1,11,1,1,0,0,6.0,4.5,1.5,6.3,4.54,1.53,5.8,4.2,1.4,6.0,4.3,1.59
